Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
XOM,Common Stock,Exxon Mobil Corporation,Exxon Mobil Corporation stylized as ExxonMobil is an American multinational oil and gas corporation headquartered in Irving Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil and was formed on November 30 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon Mobil Esso and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.,34088,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,5959 LAS COLINAS BLVD IRVING TX US,December,2021-09-30,291608297000,33627001000,None,2.524,37.93,3.48,0.0515,-1.386,56.68,-0.0243,0.0572,0.025,-0.0346,242298995000,57157000000,-1.386,-0.492,0.578,73.15,-,10.98,1.204,1.661,1.321,8.13,1.345,69.18,41.72,62.95,59.85,4233570000,2021-12-10,2021-11-10
XOMA,Common Stock,XOMA Corporation,XOMA Corporation a biotech royalty aggregator discovers and develops therapeutic candidates in the United States Europe and Asia Pacific. The company is headquartered in Emeryville California.,791908,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2200 POWELL STREET SUITE 310 EMERYVILLE CA US,December,2021-09-30,252240000,11045000,271.95,-0.42,9.86,None,0,0.082,2.653,0.289,0.37,0.0638,0.115,29796000,29215000,0.082,0,0.688,62.5,271.95,31.06,8.47,2.079,5.44,17.12,0.812,44.5,19.4,22.9,28.81,11311200,2016-10-18,None
XOMAO,Common Stock,XOMA Corporation,XOMA Corporation a biotech royalty aggregator discovers and develops therapeutic candidates in the United States Europe and Asia Pacific. The company is headquartered in Emeryville California.,791908,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2200 POWELL STREET SUITE 310 EMERYVILLE CA US,December,2021-09-30,None,11045000,317.63,None,9.86,2.09,0.081,0.082,2.653,0.289,0.37,0.0638,0.115,29796000,29215000,0.082,0,0.688,None,317.63,-,-,-,-,-,0.812,26.86,22.6,26.12,25.53,0,2022-01-17,2022-01-03
XOMAP,Common Stock,XOMA Corporation,XOMA Corporation a biotech royalty aggregator discovers and develops therapeutic candidates in the United States Europe and Asia Pacific. The company is headquartered in Emeryville California.,791908,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2200 POWELL STREET SUITE 310 EMERYVILLE CA US,December,2021-09-30,None,11045000,313.81,None,9.86,2.16,0.0833,0.082,2.653,0.289,0.37,0.0638,0.115,29796000,29215000,0.082,0,0.688,None,313.81,-,-,-,-,-,0.812,26.48,22.81,26.17,26.01,0,2022-01-17,2022-01-03
XP,Common Stock,XP Inc,XP Inc. offers financial products and services in Brazil. The company is headquartered in So Paulo Brazil.,1787425,NASDAQ,USD,USA,FINANCE,SECURITY BROKERS DEALERS & FLOTATION COMPANIES,AV. CHEDID JAFET 75 TORRE SUL 30TH FLOOR VILA OLIMPIA SAO PAULO BR,December,2021-09-30,15521889000,3554560000,27.91,None,24.02,None,None,0.994,20.1,0.285,0.306,0.0197,0.29,11212583000,5506246000,0.994,0.685,0.51,47.07,27.91,7.92,1.384,6.94,1.79,3.313,1.888,53.08,25.82,30.44,39.18,424154000,None,None
XPAXU,Common Stock,XPAC Acquisition Corp. Unit,None,1853397,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,55 WEST 46TH STREET 30TH FLOOR 1909 25TH FLOOR TORRE SOL NEW YORK NY BRAZIL,None,2021-09-30,None,None,None,None,0.003,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,10.08,9.63,9.84,9.85,0,None,None
XPDI,Common Stock,Power & Digital Infrastructure Acquisition Corp,Corporation for the Acquisition of Energy and Digital Infrastructure. The company is headquartered in Chicago Illinois.,1839341,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,321 NORTH CLARK STREET SUITE 2440 CHICAGO IL UNITED STATES,December,2021-09-30,433838000,None,None,None,0.116,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,18.75,-,-,-,-,-,-,None,14.98,9.72,12.04,10.57,34500000,None,None
XPDIU,Common Stock,Power & Digital Infrastructure Acquisition Corp,Corporation for the Acquisition of Energy and Digital Infrastructure. The company is headquartered in Chicago Illinois.,1839341,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,321 NORTH CLARK STREET SUITE 2440 CHICAGO IL UNITED STATES,December,2021-09-30,419606000,None,None,None,0.116,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,None,-,-,-,-,-,-,None,17.1,9.88,12.97,11.09,0,None,None
XPDIW,Common Stock,Power & Digital Infrastructure Acquisition Corp,Corporation for the Acquisition of Energy and Digital Infrastructure. The company is headquartered in Chicago Illinois.,1839341,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,321 NORTH CLARK STREET SUITE 2440 CHICAGO IL UNITED STATES,December,2021-09-30,422194000,None,None,None,None,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,None,-,-,-,-,-,-,None,4.8,0.96,0,0,0,None,None
XPEL,Common Stock,XPEL Inc,XPEL Inc. manufactures sells distributes and installs aftermarket automotive products in the United States China Canada Continental Europe the United Kingdom Asia Pacific Latin America the Middle East / Africa and internationally. The company is headquartered in San Antonio Texas.,1767258,NASDAQ,USD,USA,MANUFACTURING,COATING ENGRAVING & ALLIED SERVICES,618 W. SUNSET ROAD SAN ANTONIO TX US,December,2021-09-30,1836238000,42232000,58.38,None,2.84,None,0,1.139,8.61,0.132,0.164,0.242,0.504,237738000,54025000,1.139,0.254,0.486,110,58.38,-,7.72,23.17,7.66,43.15,1.439,103.84,44.11,70.94,75.36,27612600,None,None
XPER,Common Stock,Xperi Holding Corporation,Xperi Holding Corporation is a global consumer and entertainment product / solution licensing company. The company is headquartered in San Jose California.,1803696,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,3025 ORCHARD PARKWAY SAN JOSE CA US,December,2021-09-30,1952620000,512526000,14.24,1.08,13.16,0.2,0.0107,1.312,10.46,0.127,0.255,0.0675,0.102,1097174000,813663000,1.312,-0.871,0.082,27.33,14.24,12.76,1.78,1.516,2.463,6.07,0.721,24.91,17.19,19.06,20.23,104530000,2021-12-20,2021-11-26
XPEV,Common Stock,XPeng Inc,XPeng Inc. designs develops manufactures and markets smart electric vehicles in the People's Republic of China. The company is headquartered in Guangzhou the People's Republic of China.,1810997,NYSE,USD,China,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,NO. 8 SONGGANG ROAD CHANGXING STREET CENCUN TIANHE DISTRICT GUANGZHOU CHINA,December,2021-09-30,40178246000,None,None,None,51.97,None,None,-0.86,19.23,-0.285,-0.341,-0.0728,-0.137,15283475000,329240000,-0.86,0,1.874,59.84,-,-,2.629,5.79,2.886,-,None,60.04,22.73,47.03,39.71,856379000,None,None
XPL,Common Stock,Solitario Zinc Corp,Solitaire Zinc Corp. The company is headquartered in Wheat Ridge Colorado.,917225,NYSE MKT,USD,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,4251 KIPLING STREET SUITE 390 WHEAT RIDGE CO US,December,2021-09-30,30397800,-3312000,None,0,0.374,None,0,-0.042,-0.007,0,0,-0.0528,-0.106,-408000,408000,-0.042,0,-0.187,0.9,-,-,29.23,1.46,8.65,-,1.523,1.25,0.41,0.508,0.596,62036000,None,None
XPO,Common Stock,XPO Logistics Inc,XPO Logistics Inc. provides supply chain solutions in the United States the rest of North America France the United Kingdom the rest of Europe and internationally. The company is headquartered in Greenwich Connecticut.,1166003,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,FIVE AMERICAN LANE GREENWICH CT US,December,2021-09-30,8190366000,1655000000,27.38,0.558,8.84,None,0,2.608,172.3,0.0184,0.0479,0.0455,0.207,18436000000,2571000000,2.608,4.1,0.222,103.3,27.38,16.31,0.444,8.55,0.696,8.19,2.022,90.78,63.29,76.79,81.19,114711000,None,None
XPOA,Common Stock,DPCM Capital Inc,None,1821742,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,382 NE 191 STREET #24148 MIAMI FL US,December,2021-09-30,367875000,None,None,None,0.133,None,None,-0.204,0,0,0,0,-99999.99,0,0,-0.204,0,0,None,-,-,-,-,-,-,None,11.96,9.65,9.83,9.83,30000000,None,None
XPOF,Common Stock,Xponential Fitness Inc.,None,1802156,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,17877 VON KARMAN AVE. SUITE 100 IRVINE CA UNITED STATES,December,2021-09-30,422039000,11048000,None,None,0.111,None,None,-0.758,5.58,-0.0683,0.0166,0,0,133478000,65372000,-0.758,0,0.598,27.25,-,56.5,3.162,430.2,4.471,66.62,None,24.73,9.87,20.13,15.71,23898000,None,None
XRAY,Common Stock,DENTSPLY SIRONA Inc,Dentsply Sirona is an American dental equipment manufacturer and dental consumables producer that markets its products in over 120 countries.,818479,NASDAQ,USD,USA,LIFE SCIENCES,DENTAL EQUIPMENT & SUPPLIES,SUSQUEHANNA COMMERCE CENTER 221 W. PHILADELPHIA STREET YORK PA US,December,2021-09-30,12329435000,1004000000,29.65,18.91,23.43,0.42,0.0078,1.902,19.42,0.0985,0.152,0.0445,0.0846,4245000000,1701000000,1.902,0.938,0.194,69.42,29.65,16.84,2.905,2.274,3.2,14.28,0.939,69.16,48.04,54.21,60.74,218607000,2022-01-14,2021-12-30
XRX,Common Stock,Xerox Holdings Corporation Common Stock,Xerox Holdings Corporation a workplace technology company designs develops and sells document management systems and solutions in the United States Europe Canada and internationally. The company is headquartered in Norwalk Connecticut.,1770450,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER PERIPHERAL EQUIPMENT NEC,201 MERRITT 7 NORWALK CT US,December,2021-09-30,4230735000,776000000,16.24,0.445,29.07,1,0.0422,1.459,37.74,0.0413,0.067,0.0205,0.0534,7191000000,2626000000,1.459,0.177,-0.005,17.6,16.24,9.75,0.588,0.728,0.819,7.55,1.747,25.81,17.4,20.59,22.46,178512000,2022-01-31,2021-12-30
XSPA,Common Stock,XpresSpa Group Inc,XpresSpa Group Inc. a health and wellness services company offers spa services at airports. The company is headquartered in New York New York.,1410428,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,PATENT OWNERS & LESSORS,780 THIRD AVENUE 12TH FLOOR NEW YORK NY US,December,2021-09-30,198645000,631000,None,None,0.912,None,0,-0.163,0.465,-0.349,-0.0907,-0.024,-0.189,44694000,-789000,-0.163,0,132.17,4,-,8.43,4.444,1.948,2.114,-,2.398,3.33,1.03,1.679,1.554,105662000,2020-06-11,None
XTLB,Common Stock,XTL Biopharmaceuticals Ltd,XTL Biopharmaceuticals Ltd. a biopharmaceutical company is engaged in the acquisition and development of pharmaceutical products for the treatment of autoimmune diseases. The company is headquartered in Ramat Gan Israel.,1023549,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,XTL BIOPHARMACEUTICALS LTD C/O ALSTON & BIRD LLP 90 PARK AVENUE NEW YORK NY UNITED STATES,December,2021-09-30,15456900,None,None,0,0.6,None,0,-0.5,0,0,0,-0.0959,-0.601,0,0,-0.5,9.42,0,30,-,-,-,5.25,-,0.375,1.013,6.69,2.56,3.195,3.615,5414100,2017-02-10,None
XTNT,Common Stock,Xtant Medical Holdings Inc,Xtant Medical Holdings Inc. develops manufactures and markets regenerative medicine products and medical devices for orthopedic and neurological surgeons in the United States and internationally. The company is headquartered in Belgrade Montana.,1453593,NYSE MKT,USD,USA,LIFE SCIENCES,BIOLOGICAL PRODUCTS (NO DISGNOSTIC SUBSTANCES),664 CRUISER LANE BELGRADE MT US,December,2021-09-30,50222000,1909000,None,-0.03,0.376,None,0,-0.04,0.672,-0.0592,0.0081,0.0057,0,55308000,34392000,-0.04,0,-0.017,1,-,-,0.908,1.951,1.125,43.26,1.409,4.9,0.53,0.832,1.34,86796000,2018-02-14,None
XXII,Common Stock,22nd Century Group Inc. Common Stock,None,1347858,NASDAQ,USD,USA,MANUFACTURING,CIGARETTES,8560 MAIN STREET SUITE 4 WILLIAMSVILLE NY US,December,2021-09-30,449184000,-20948652,None,0,0.486,None,0,-0.167,0.202,-0.827,-0.835,-0.22,-0.388,30296000,1438000,-0.167,0,0.069,6.83,-,-,14.83,4.737,10.61,-,1.917,6.07,1.86,2.729,3.481,162748000,None,None
XYF,Common Stock,X Financial,X Financial offers personal finance services in the People's Republic of China. The company is headquartered in Shenzhen the People's Republic of China.,1725033,NYSE,USD,China,FINANCE,FINANCE SERVICES,7-8FBLOCK AAEROSPACE SCIENCE&TECH PLZ NO. 168 HAIDE THIRD AVENUE NANSHAN DIST SHENZHEN CHINA,December,2021-09-30,166406000,1115247000,28.09,None,68.93,0.1,0.105,0.11,64.47,0.0115,0.313,0.0898,0.0107,3519364000,-123752602,0.11,-0.499,0.723,1.7,28.09,-,0.0473,0.327,-,-,0.826,17.88,2.09,3.941,5.51,53853000,2020-11-19,2019-04-04
XYL,Common Stock,Xylem Inc,Xylem Inc. is a large American water technology provider in public utility residential commercial agricultural and industrial settings.,1524472,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,1133 WESTCHESTER AVENUE WHITE PLAINS NY US,December,2021-09-30,20814914000,876000000,45.28,2.657,17.16,1.1,0.0097,2.549,29.1,0.0881,0.12,0.0473,0.155,5245000000,1836000000,2.549,2.15,0.037,122,45.28,40.49,3.969,7.16,4.464,26.76,1.03,138.48,93.92,123.46,121.88,180325000,2021-12-21,2021-11-22
Y,Common Stock,Alleghany Corporation,Alleghany Corporation offers P&C insurance and reinsurance products in the United States and internationally. The company is headquartered in New York New York.,775368,NYSE,USD,USA,FINANCE,FIRE MARINE & CASUALTY INSURANCE,1411 BROADWAY 34TH FLOOR NEW YORK NY US,December,2021-09-30,9237441000,1213485000,13.89,-26.99,644.37,None,0.0278,48.54,795.88,0.061,0.0933,0.0215,0.0834,11112636000,2767853000,48.54,1.341,0.136,800,13.89,12.11,0.831,1.045,0.974,-,0.69,737.89,563.47,670.53,670.59,13699100,2020-03-16,2020-03-04
YALA,Common Stock,Yalla Group Limited,Yalla Group Limited operates a voice-focused social media and entertainment platform under the name Yalla primarily in the Middle East and North Africa region. The company is headquartered in Dubai the United Arab Emirates.,1794350,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC.,#238 BUILDING 16 DUBAI INTERNET CITY DUBAI AE,December,2021-09-30,889487000,74403000,14.71,0.64,2.076,None,None,0.42,1.717,0.286,0.292,0.162,0.281,253922000,73657000,0.42,-0.374,1.108,10,14.71,15.36,3.503,3.174,2.592,8.88,None,41.35,5.64,7.02,12.98,143930000,None,None
YCBD,Common Stock,cbdMD Inc,cbdMD Inc. produces and distributes various cannabidiol (CBD) products. The company is headquartered in Charlotte North Carolina.,1644903,NYSE MKT,USD,USA,LIFE SCIENCES,PERFUMES COSMETICS & OTHER TOILET PREPARATIONS,4521 SHARON ROAD SUITE 450 CHARLOTTE NC US,September,2021-09-30,61768000,-11807494,None,None,1.785,None,0,-0.472,0.81,-0.526,-0.441,-0.104,-0.257,44480800,29985700,-0.472,0,-0.163,5.13,-,714.29,1.389,0.841,1.326,-,1.429,6.83,1.02,1.445,2.413,58272000,None,None
YELL,Common Stock,Yellow Corporation,Yellow Corporation offers a range of transportation services primarily in North America. The company is headquartered in Overland Park Kansas.,716006,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),10990 ROE AVENUE OVERLAND PARK KS US,December,2021-09-30,561066000,204300000,None,None,None,None,None,-1.644,98.48,-0.0167,0.0132,0.018,0,4977400000,392000000,-1.644,0,0.1,14.33,-,-,0.113,-,0.423,11.52,3.049,15.24,4.49,12.32,8.16,51286000,None,1995-04-25
YELP,Common Stock,Yelp Inc,Yelp Inc. operates a platform that connects consumers with local businesses in the United States and internationally. The company is headquartered in San Francisco California.,1345016,NYSE,USD,USA,TRADE & SERVICES,SERVICES-PERSONAL SERVICES,140 NEW MONTGOMERY STREET 9TH FLOOR SAN FRANCISCO CA US,December,2021-09-30,2577465000,62179000,73.39,0.401,10.63,None,0,0.481,13.29,0.0379,0.0379,0.0212,0.047,991634000,815747000,0.481,0.182,0.219,43,73.39,17.48,2.599,3.366,2.287,29.03,1.759,43.86,30.53,36.85,38.31,73016000,None,None
YETI,Common Stock,YETI Holdings Inc,YETI Holdings Inc. designs markets sells and distributes products for the outdoor and recreation market under the YETI brand. The company is headquartered in Austin Texas.,1670592,NYSE,USD,USA,MANUFACTURING,SPORTING & ATHLETIC GOODS NEC,7601 SOUTHWEST PARKWAY AUSTIN TX US,December,2021-09-30,6509164000,293769000,32.6,1.655,5.02,None,0,2.278,15.39,0.15,0.196,0.198,0.61,1343632000,628803000,2.278,0.034,0.231,112.41,32.6,30.49,4.845,17.94,5.82,26.73,2.566,108.82,60.75,91.65,91.06,87642000,None,None
YEXT,Common Stock,Yext Inc,None,1614178,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1 MADISON AVENUE 5TH FLOOR NEW YORK NY US,January,2021-10-31,1171218000,-81398000,None,0,1.658,None,0,-0.702,3.031,-0.232,-0.228,-0.102,-0.426,381839000,268257000,-0.702,0,0.118,14.64,-,-,3.067,6.22,3.249,-,1.431,20.23,8.79,10.8,12.62,129703000,None,None
YGMZ,Common Stock,MingZhu Logistics Holdings Limited,MingZhu Logistics Holdings Limited provides transportation and delivery services through its fleet of trucks and subcontractors in the People's Republic of China. The company is headquartered in Shenzhen China.,1782037,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,NONE,December,2021-06-30,26469200,2918000,63.85,None,2.205,None,None,0.026,1.584,0.0164,0.0762,0.0291,0.0143,19523100,2783300,0.026,-0.515,0.082,None,63.85,-,1.356,1.641,2.119,13.09,None,58,1.52,2.259,3.58,15945300,None,None
YI,Common Stock,111 Inc,111 Inc. operates an integrated online and offline platform in the healthcare market in the People's Republic of China. The company is headquartered in Shanghai the People's Republic of China.,1738906,NASDAQ,USD,China,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,3-4/F NO.295 ZUCHONGZHI ROAD PUDONG NEW AREA SHANGHAI CHINA,December,2021-09-30,246134000,None,None,None,4.323,None,0,-1.303,140.17,-0.0594,-0.0588,-0.146,-0.719,11608001000,138902000,-1.303,0,0.416,7.97,-,-,0.0212,17.66,0.0169,-,0.688,30.99,2.95,4.094,7.27,82873000,None,None
YJ,Common Stock,Yunji Inc,Yunji Inc. operates a social e-commerce platform in the People's Republic of China. The company is headquartered in Hangzhou the People's Republic of China.,1759614,NASDAQ,USD,China,TRADE & SERVICES,RETAIL-RETAIL STORES NEC,15/F SOUTH BUILDING HIPARK PHASE 2 XIAOSHAN DISTRICT HANGZHOU CHINA,December,2021-09-30,125866000,13934500,None,None,6.64,None,0,-0.015,14.09,-0.0016,-0.0027,-0.002,-0.0021,3011389000,1590260000,-0.015,0,-0.59,3.39,-,61.35,0.0418,0.619,0.0049,1.154,1.633,4.45,0.5,0.726,1.232,213332000,None,None
YMAB,Common Stock,Y-mAbs Therapeutics Inc,Y-mAbs Therapeutics Inc. a commercial-stage biopharmaceutical company focuses on the development and commercialization of new antibody-based therapeutics for the treatment of cancer in the United States. The company is headquartered in New York New York.,1722964,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,750 THIRD AVENUE 9TH FLOOR NEW YORK NY US,December,2021-09-30,612760000,-60318000,None,None,4.831,None,0,-0.904,1.086,-0.832,-2.167,-0.326,-0.234,46049000,18547000,-0.904,0,0,42.83,-,119.05,13.31,3.382,10.86,-,1.105,53.18,13.94,18.66,28.03,43643900,None,None
YMM,Common Stock,Full Truck Alliance Co. Ltd.,Full Truck Alliance Co. Ltd. operates a digital cargo platform that connects carriers with truckers to facilitate shipments across distance ranges weights and types of cargo in the People's Republic of China. The company is headquartered in Guiyang China.,1838413,NYSE,USD,USA,TECHNOLOGY,GENERAL,NONE,December,2021-09-30,9012555000,None,None,None,30.13,None,None,-2.022,9.16,-1.253,-1.281,-0.13,-0.22,4077996000,276734000,-2.022,0,0.689,22.34,-,-,2.21,2.509,3.595,-,None,22.8,7.16,11.88,13.98,1085850000,None,None
YMTX,Common Stock,Yumanity Therapeutics Inc,Yumanity Therapeutics Inc. a clinical-stage biopharmaceutical company is dedicated to the research and development of treatments for neurodegenerative diseases caused by protein misfolding. The company is headquartered in Boston Massachusetts.,1445283,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,80 GUEST STREET 5TH FLOOR BOSTON MA US,December,2021-09-30,27729600,None,None,None,3.15,None,None,-7.81,1.291,0,-3.341,-0.398,-4.03,10870000,-15414000,-7.81,0,-0.506,27.67,-,-,2.551,1.14,1.906,-,None,23.47,2.6,4.697,10.51,10308400,2020-12-23,None
YNDX,Common Stock,Yandex N.V,Yandex NV a technology and Internet company offers an Internet search engine in Russia and internationally. The company is headquartered in Schiphol the Netherlands.,1513845,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING DATA PROCESSING ETC.,LAAN COPES VAN CATTENBURCH 52 THE HAGUE NL,December,2021-09-30,19592210000,14397000000,None,5875.5,720.14,None,0,-0.333,881.98,-0.0288,-0.0176,-0.0068,-0.0356,317441999000,132610000000,-0.333,-0.231,0.565,6761.17,-,-,0.0617,6.47,0.0714,0.564,1.231,87.11,54.46,70.62,70.26,322860000,None,None
YORW,Common Stock,The York Water Company,The York Water Company seizes purifies and distributes drinking water. The company is headquartered in York Pennsylvania.,108985,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,WATER SUPPLY,130 E MARKET ST YORK PA US,December,2021-09-30,608578000,30849000,36.57,7.71,11.5,0.75,0.0168,1.27,4.192,0.305,0.405,0.0335,0.114,54783000,43071000,1.27,0,0.017,55,36.57,35.34,11.11,4.092,13.67,24.82,0.364,53.33,40.21,48.17,48.4,13104600,2022-01-14,2021-12-30
YOU,Common Stock,Clear Secure Inc.,Clear Secure Inc. is focused on operating as a holding company for Alclear Holdings LLC providing a member-centric secure identity platform using biometric data in the United States. The company is headquartered in New York New York.,1856314,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,65 EAST 55TH STREET 17TH FLOOR NEW YORK NY UNITED STATES,December,2021-09-30,1971634000,29530000,None,None,3.797,None,None,-0.139,3.004,-0.0462,-0.368,0,-99999.99,226449000,157081000,-0.139,0,0.198,50,-,-,8.71,7.15,6.07,141.11,None,65.7,24.02,34.6,41.34,74268000,None,None
YPF,Common Stock,YPF,YPF Sociedad Annima an energy company operates in the upstream and downstream oil and gas activities in Argentina. The company is headquartered in Buenos Aires Argentina.,904851,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,AVENIDA PTE R SAENZ 777-8 PISO BUENOS AIRES 1364 AR AR,December,2021-09-30,1585051000,306991989000,8.31,-0.17,1977.56,0.089,0.0225,0.485,2780.26,0.018,0.0568,0.0193,0.0256,1091793977000,47343000000,0.485,0,1.038,4.17,8.31,2.56,0.0015,0.205,0.0076,0.0176,2.139,5.86,3.25,3.998,4.436,393313000,2019-07-18,2019-07-09
YQ,Common Stock,17 Education & Technology Group Inc,17 Education & Technology Group Inc. an educational technology company provides K-12 online education services in the People's Republic of China. The company is headquartered in Beijing the People's Republic of China.,1821468,NASDAQ,USD,China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,16/F BLOCK B WANGJING GREENLAND CENTER WANGJING GREENLAND CENTER CHAOYANG DISTRICT BEIJING CHINA,December,2021-06-30,56712000,None,None,None,25.09,None,None,-21.21,63.49,-0.966,-0.941,-0.519,-1.895,1939058000,798700000,-21.21,0,1.472,11.96,-,-,0.0292,0.39,0.103,0.117,None,79.52,1.11,2.112,10.07,49314900,None,None
YRD,Common Stock,Yiren Digital Ltd,Yiren Digital Ltd. is an online consumer finance marketplace connecting borrowers and investors in the People's Republic of China. ,1631761,NYSE,USD,China,FINANCE,FINANCE SERVICES,10/F BUILDING 9 91 JIANGUO ROAD CHAOYANG DISTRICT BEIJING CHINA,December,2021-09-30,262030000,1099315000,11.86,1.24,52.78,0.293,0.0958,0.263,54.81,0.0309,0.227,0.0821,0.0323,4617840000,2857280000,0.263,3.281,0.205,3.28,11.86,3.617,0.0567,0.369,0.0049,0.0216,0.545,6.8,2.43,3.129,3.813,83984000,2018-05-15,2018-04-27
YSAC,Common Stock,Yellowstone Acquisition Company,None,1823587,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1411 HARNEY STREET SUITE 200 OMAHA NE US,December,2021-09-30,173216000,None,None,None,0.294,None,None,-0.3,0,0,0,0,-99999.99,0,0,-0.3,0,0,None,-,-,-,-,-,-,None,10.93,9.91,10.15,10.09,13598900,None,None
YSACU,Common Stock,Yellowstone Acquisition Company,None,1823587,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,1411 HARNEY STREET SUITE 200 OMAHA NE US,December,2021-09-30,170936000,None,None,None,0.294,None,None,-0.3,0,0,0,0,-99999.99,0,0,-0.3,0,0,None,-,-,-,-,-,-,None,11.22,9.43,10.6,10.47,0,None,None
YSG,Common Stock,Yatsen Holding Limited,Yatsen Holding Limited is engaged in the development and sale of beauty products under the Perfect Diary Little Ondine and Abby's Choice brands in the People's Republic of China. The company is headquartered in Guangzhou China.,1819580,NYSE,USD,China,LIFE SCIENCES,PERFUMES COSMETICS & OTHER TOILET PREPARATIONS,32-35 38/F POLY MIDTOWN PLAZA NO.23 EAST XUANYUE STREET HAIZHU DISTRI GUANGZHOU CHINA,December,2021-09-30,1200065000,None,None,None,9.66,None,None,-0.727,10.95,-0.414,-0.423,-0.277,-0.568,6273668000,3364025000,-0.727,0,0.06,3.92,-,-,0.191,1.373,0.145,-,None,25.47,1.72,2.46,6.39,631613000,None,None
YTEN,Common Stock,Yield10 Bioscience Inc,Yield10 Bioscience Inc. an agricultural biosciences company is dedicated to developing technologies to enable game-changing increases in crop yields in the United States and Canada. The company is headquartered in Woburn Massachusetts.,1121702,NASDAQ,USD,USA,MANUFACTURING,MISCELLANEOUS PLASTICS PRODUCTS,19 PRESIDENTIAL WAY SUITE 201 WOBURN MA US,December,2021-09-30,21089600,-8260000,None,0,3.79,None,0,-2.46,0.151,0,-17.04,-0.353,-0.704,657000,-4421000,-2.46,0,-0.549,21.5,-,-,32.1,1.32,14.07,-,1.262,23.49,3.98,5.22,7.28,4881900,2020-01-16,None
